ID,type,Pd,Qd,Gs,Bs,area_num,Vm,Va,baseKV,zone,max_Vm,min_Vm
28,1,0.09808470319634703,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
29,1,0.0034539954337899545,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
30,1,0.09387054794520547,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
31,1,0.01665867579908676,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
32,1,0.0002641552511415525,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
33,1,0.011920319634703197,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
34,1,0.019767351598173517,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
35,1,0.03331255707762557,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
36,1,0.05172009132420091,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
37,1,0.02654942922374429,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
38,1,0.03759394977168949,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
39,1,0.03927066210045662,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
40,1,0.027400456621004564,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
41,1,0.045202397260273974,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
42,1,0.022168607305936075,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
43,1,0.023483675799086758,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
44,1,0.011655707762557078,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
45,1,0.009589383561643836,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
46,1,0.007658561643835616,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
47,1,0.016506963470319637,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
48,1,0.02609851598173516,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
49,1,0.01833664383561644,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
50,1,0.019512785388127854,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
51,1,0.1053162100456621,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
52,1,0.03457340182648402,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
53,1,0.023601712328767125,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
54,1,0.029589840182648403,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
55,1,0.004918264840182649,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
56,1,0.07166632420091323,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
57,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
58,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
59,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
60,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
61,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
62,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
63,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
64,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
65,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
66,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
67,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
68,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
69,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
70,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
71,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
72,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
73,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
74,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
75,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
76,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
77,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
78,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
79,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
80,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
81,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
82,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
83,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
84,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
85,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
86,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
87,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
88,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
89,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
90,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
91,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
92,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
93,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
94,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
95,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
96,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
97,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
98,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
99,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
100,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
101,1,0.0,0.0,0.0,0.0,0,1.0,0.0,22.0,0,1.2,0.9
