f_bus,t_bus,r,x,b,rateA,rateB,rateC,ratio,angle,status,min_a,max_a
302,752,0.03891898708072488,0.008500247185428392,0.0,3.74,3.74,3.74,0.0,0.0,1,0.0,0.0
302,1063,0.050586408361278354,0.03175626886017672,0.0,6.314,6.314,6.314,0.0,0.0,1,0.0,0.0
631,742,0.007474744671613283,0.0046717155949476345,0.0,6.49,6.49,6.49,0.0,0.0,1,0.0,0.0
732,742,0.0003783539599233994,0.00023647123381979573,0.0,6.49,6.49,6.49,0.0,0.0,1,0.0,0.0
881,732,1.2913223334194217e-06,1.2913223334194217e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
977,930,2.744059958516271e-06,2.744059958516271e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
930,919,2.4212293751614154e-06,2.4212293751614154e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
516,703,1.6141529167742769e-06,1.6141529167742769e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
703,660,3.551136416903409e-06,3.551136416903409e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
660,558,0.006169220465718666,0.005690057633701,0.0,8.14,8.14,8.14,0.0,0.0,1,0.0,0.0
558,187,0.06187715657078216,0.013514512206911902,0.0,3.74,3.74,3.74,0.0,0.0,1,0.0,0.0
807,777,2.4212293751614154e-06,2.4212293751614154e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
777,979,4.681043458645403e-06,4.681043458645403e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
919,979,0.01108431700764749,0.004156618877867809,0.0,5.28,5.28,5.28,0.0,0.0,1,0.0,0.0
1048,919,0.006016562406954616,0.0022562109026079812,0.0,5.28,5.28,5.28,0.0,0.0,1,0.0,0.0
1116,1048,4.0353822919356925e-06,4.0353822919356925e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
706,112,1.1299070417419939e-06,1.1299070417419939e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
228,112,0.0003153657646398073,0.00019710361029126486,0.0,6.49,6.49,6.49,0.0,0.0,1,0.0,0.0
1060,228,0.03319835145615246,0.02084069236595976,0.0,6.314,6.314,6.314,0.0,0.0,1,0.0,0.0
1016,310,3.2283058335485537e-06,3.2283058335485537e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
310,187,3.551136416903409e-06,3.551136416903409e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
187,415,0.005772273340816173,0.0018910724101584427,0.0,4.4,4.4,4.4,0.0,0.0,1,0.0,0.0
415,1021,0.008408603304757232,0.012108389243185963,0.0,10.23,10.23,10.23,0.0,0.0,1,0.0,0.0
1021,319,0.006498362821844008,0.00935764283776107,0.0,10.23,10.23,10.23,0.0,0.0,1,0.0,0.0
523,319,4.5196281669679755e-06,4.5196281669679755e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
723,523,1.8562758542904186e-06,1.8562758542904186e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
557,286,1.2913223334194217e-06,1.2913223334194217e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
708,286,0.00028763240739934507,0.00017977026136597535,0.0,6.49,6.49,6.49,0.0,0.0,1,0.0,0.0
708,71,0.059667363884889246,0.022375261456833467,0.0,5.28,5.28,5.28,0.0,0.0,1,0.0,0.0
815,71,4.923166396161545e-06,4.923166396161545e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
808,815,3.873967000258265e-06,3.873967000258265e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
1055,322,3.2283058335485537e-06,3.2283058335485537e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
322,1097,1.1621901000774792e-05,1.1621901000774792e-05,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
120,1097,0.03553641302437781,0.013326154884141675,0.0,5.28,5.28,5.28,0.0,0.0,1,0.0,0.0
120,768,0.0006363222808959716,0.000397701440473786,0.0,6.49,6.49,6.49,0.0,0.0,1,0.0,0.0
528,768,1.2913223334194217e-06,1.2913223334194217e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
865,765,1.2913223334194217e-06,1.2913223334194217e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
1120,765,0.00042841734317383267,0.00026776084952467714,0.0,6.49,6.49,6.49,0.0,0.0,1,0.0,0.0
252,1120,0.012261312813330373,0.004597992304998889,0.0,5.28,5.28,5.28,0.0,0.0,1,0.0,0.0
278,1060,0.032153619395488824,0.02018484836991366,0.0,6.314,6.314,6.314,0.0,0.0,1,0.0,0.0
1061,647,2.09839879180656e-06,2.09839879180656e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
647,160,1.6141529167742769e-06,1.6141529167742769e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
160,877,0.0007865573383503013,0.00017179100236145377,0.0,3.74,3.74,3.74,0.0,0.0,1,0.0,0.0
773,259,1.1299070417419939e-06,1.1299070417419939e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
259,598,0.00031700642308223135,0.00019812902185623282,0.0,6.49,6.49,6.49,0.0,0.0,1,0.0,0.0
639,959,1.7755682084517045e-06,1.7755682084517045e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
