f_bus,t_bus,repair_time,failure_frequency_permanent,failure_frequency_temporary,length
996,144,244.0,0.005726945585602376,9.936340921392138e-05,0.28264373402759996
381,144,244.0,0.00046861147287310966,8.13048296782998e-06,0.0231275283694
893,381,244.0,0.0008376711971674849,1.453372739565037e-05,0.041341848200900005
438,893,0.0,0.0,0.0,8.59375e-05
526,438,0.0,0.0,0.0,0.0001729370595
526,1043,0.0,0.0,0.0,0.0001620505353
1043,607,0.0,0.0,0.0,0.0002344075498
607,635,244.0,0.0025506892970496384,4.425486162073506e-05,0.1258849654648
126,157,0.0,0.0,0.0,5.46875e-05
157,556,244.0,8.993463664331735e-05,1.560380131035475e-06,0.0044385722091
556,678,104.0,0.0044424488007366696,0.010150566896575387,0.0613168869659
540,127,0.0,0.0,0.0,9.375e-05
127,294,0.0,0.0,0.0,0.0001171875
1044,294,244.0,0.009369423629220103,0.00016256097779403965,0.4624120904705
132,1044,244.0,0.004174604325767772,7.243004350701183e-05,0.2060305510304
686,132,244.0,2.3840565696586768e-05,4.13637575177373e-07,0.0011766108843
522,980,0.0,0.0,0.0,0.000171875
980,572,244.0,0.001910433478070246,3.314632217472036e-05,0.094286220077
606,65,0.0,0.0,0.0,0.00012109375
65,552,0.0,0.0,0.0,0.0003359375
552,962,244.0,0.005784524816922512,0.00010036241795922341,0.28548545981310003
475,417,0.0,0.0,0.0,0.0001015625
879,417,244.0,6.484187458915308e-05,1.12501675154682e-06,0.0032001612869
984,777,104.0,0.05002930316245431,0.11431213083543758,0.6905293149324
612,984,104.0,0.023867261994316838,0.05453439091323473,0.3294278159488
635,612,104.0,0.03315143416272481,0.07574782856931334,0.4575725759577
678,635,104.0,0.03506629450217559,0.08012309969679848,0.4840024303592
508,678,104.0,0.04331583945519174,0.09897251398785581,0.5978667511636
994,508,104.0,0.034861004980911554,0.07965403294730415,0.4811689223245
424,641,104.0,0.014153781540580748,0.032340025245390515,0.1953575295499
501,424,104.0,0.02516520452641982,0.05750006437194449,0.34734266406500003
501,1081,244.0,6.33451790533653e-05,1.099048847929051e-06,0.0031262944047
754,501,244.0,0.003891066480931064,6.75106171770374e-05,0.1920370192245
392,413,0.0,0.0,0.0,0.0001015625
413,185,0.0,0.0,0.0,7.8125e-05
185,528,244.0,0.004308004806706137,7.474456289237777e-05,0.21261430662750003
269,750,244.0,0.014917571503109574,0.0002588222185082103,0.7362315651929
269,601,244.0,0.008100938109584604,0.00014055255395178335,0.39980812846830005
601,321,244.0,0.013036596893922914,0.00022618701235512943,0.6433992378719999
880,1021,0.0,0.0,0.0,1.5625e-05
936,354,0.0,0.0,0.0,3.125e-05
430,936,0.0,0.0,0.0,3.125e-05
948,430,0.0,0.0,0.0,3.125e-05
712,948,0.0,0.0,0.0,3.125e-05
729,1117,0.0,0.0,0.0,1.5625e-05
255,223,0.0,0.0,0.0,1.5625e-05
654,1077,0.0,0.0,0.0,1.5625e-05
981,150,0.0,0.0,0.0,1.5625e-05
207,303,0.0,0.0,0.0,1.5625e-05
1021,207,0.0,0.0,0.0,1.5625e-05
712,915,0.0,0.0,0.0,1.5625e-05
903,712,0.0,0.0,0.0,1.5625e-05
1029,903,0.0,0.0,0.0,1.5625e-05
609,283,0.0,0.0,0.0,1.5625e-05
829,609,0.0,0.0,0.0,1.5625e-05
290,829,0.0,0.0,0.0,7.03125e-05
1105,290,0.0,0.0,0.0,3.515625e-05
729,1105,0.0,0.0,0.0,3.125e-05
1082,83,0.0,0.0,0.0,1.5625e-05
1129,953,0.0,0.0,0.0,3.125e-05
1022,1129,0.0,0.0,0.0,1.5625e-05
543,1022,0.0,0.0,0.0,1.5625e-05
482,543,0.0,0.0,0.0,1.5625e-05
255,482,0.0,0.0,0.0,1.5625e-05
72,255,0.0,0.0,0.0,1.5625e-05
248,72,0.0,0.0,0.0,1.5625e-05
537,559,0.0,0.0,0.0,7.8125e-06
1002,537,0.0,0.0,0.0,7.8125e-06
542,1002,0.0,0.0,0.0,3.125e-05
542,481,0.0,0.0,0.0,6.25e-05
481,286,0.0,0.0,0.0,3.125e-05
286,941,0.0,0.0,0.0,3.125e-05
1111,669,0.0,0.0,0.0,3.125e-05
407,1111,0.0,0.0,0.0,3.125e-05
215,407,0.0,0.0,0.0,3.125e-05
